127.0.0.1 - - [27/Jul/2020:18:56:48 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:04 +0200] "GET /SilencerStoreProject/ HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:04 +0200] "GET /SilencerStoreProject/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:04 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:10 +0200] "GET /SilencerStoreProject/frontend/norsk.jsp HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:10 +0200] "GET /SilencerStoreProject/frontend/images/header.jpg HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:27 +0200] "GET /SilencerStoreProject/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:27 +0200] "GET /SilencerStoreProject/admin/ HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:27 +0200] "GET /SilencerStoreProject/images/admin-page.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:47 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:47 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:52 +0200] "GET /SilencerStoreProject/admin/edit_user?id=65 HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:57:56 +0200] "POST /SilencerStoreProject/admin/update_user HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [27/Jul/2020:18:58:01 +0200] "GET /SilencerStoreProject/admin/delete_user?id=65 HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:09:21 +0200] "GET /SilencerStoreProject/ HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:09:27 +0200] "GET /SilencerStoreProject/ HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:09:31 +0200] "GET /SilencerStoreProject/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:09:31 +0200] "GET /SilencerStoreProject/admin/ HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:09:34 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:09:41 +0200] "GET /SilencerStoreProject/admin/login HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:10:24 +0200] "GET /SilencerStoreProject/admin/login.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:10:27 +0200] "POST /SilencerStoreProject/admin/login HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:10:34 +0200] "POST /SilencerStoreProject/admin/login HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:16:14 +0200] "GET /SilencerStoreProject/admin/login.jsp HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:16:31 +0200] "GET /SilencerStoreProject/admin/login.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:17:19 +0200] "GET /SilencerStoreProject/admin/login.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:17:22 +0200] "GET /SilencerStoreProject/admin/login.jsp HTTP/1.1" 200 745
